% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 69.00    0.004571        2285         2           futex
  7.03    0.000466          16        29           mmap
  4.29    0.000284          17        16           mprotect
  3.74    0.000248          11        21        11 openat
  3.61    0.000239          17        14           munmap
  2.66    0.000176         176         1           execve
  1.86    0.000123          12        10           fstat
  1.77    0.000117          13         9           read
  1.25    0.000083           8        10           close
  1.06    0.000070          35         2           readlinkat
  0.82    0.000054          13         4           brk
  0.50    0.000033          33         1           clone3
  0.47    0.000031          10         3           rt_sigprocmask
  0.45    0.000030          10         3           newfstatat
  0.42    0.000028          14         2         1 faccessat
  0.29    0.000019          19         1           getrandom
  0.18    0.000012          12         1           prlimit64
  0.14    0.000009           9         1           rt_sigaction
  0.14    0.000009           9         1           getpid
  0.12    0.000008           8         1           set_tid_address
  0.12    0.000008           8         1           rseq
  0.11    0.000007           7         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.006625          49       134        12 total
