% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.11    0.000853         853         1           execve
 11.68    0.000301          25        12           mmap
  8.50    0.000219          31         7           openat
  6.37    0.000164          32         5           read
  5.71    0.000147          24         6           mprotect
  4.58    0.000118          39         3           brk
  3.92    0.000101          14         7           close
  3.65    0.000094          13         7           fstat
  3.14    0.000081          16         5           munmap
  1.98    0.000051          17         3         1 faccessat
  1.94    0.000050          16         3           prlimit64
  1.90    0.000049          16         3         1 fcntl
  1.67    0.000043           8         5           rt_sigprocmask
  1.63    0.000042          42         1           dup3
  1.32    0.000034          11         3           lseek
  1.28    0.000033          11         3         3 ioctl
  1.13    0.000029           9         3           getegid
  0.93    0.000024           8         3           getuid
  0.89    0.000023          23         1           write
  0.85    0.000022          22         1           set_tid_address
  0.70    0.000018          18         1           futex
  0.54    0.000014           1        13         3 newfstatat
  0.54    0.000014          14         1           set_robust_list
  0.47    0.000012          12         1           rseq
  0.43    0.000011           3         3           geteuid
  0.39    0.000010          10         1           getrandom
  0.31    0.000008           0        14           rt_sigaction
  0.31    0.000008           2         3           getgid
  0.12    0.000003           3         1           getpgid
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         3           getppid
------ ----------- ----------- --------- --------- ----------------
100.00    0.002576          20       127         8 total
