% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.81    0.000047          11         4           mprotect
 17.27    0.000024           8         3           brk
 12.95    0.000018          18         1           write
 10.79    0.000015           5         3           munmap
  9.35    0.000013          13         1           getrandom
  7.91    0.000011           3         3           fstat
  7.91    0.000011          11         1           prlimit64
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         2           close
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         6           mmap
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000139           4        32         1 total
