% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.10    0.000023           2        10           mprotect
 19.61    0.000010           1         8           munmap
 11.76    0.000006           0        18           mmap
  7.84    0.000004           4         1           write
  5.88    0.000003           1         3           brk
  3.92    0.000002           0         6           fstat
  1.96    0.000001           1         1           futex
  1.96    0.000001           1         1           prlimit64
  1.96    0.000001           1         1           getrandom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         5           openat
  0.00    0.000000           0         5           close
  0.00    0.000000           0         4           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000051           0        68         1 total
