% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 16.24    0.000682           5       116        30 newfstatat
  9.88    0.000415           6        66           rt_sigaction
  9.60    0.000403          17        23           mmap
  9.19    0.000386           6        61           fstat
  8.50    0.000357          22        16           getdents64
  8.05    0.000338           6        50           read
  6.98    0.000293           6        42         5 openat
  6.67    0.000280           5        52         2 lseek
  5.45    0.000229           6        37           close
  5.36    0.000225          22        10           mprotect
  3.55    0.000149           5        28        23 ioctl
  2.86    0.000120          12        10           munmap
  1.71    0.000072           7        10           brk
  0.74    0.000031           7         4         3 readlinkat
  0.71    0.000030          15         2           getrandom
  0.69    0.000029           9         3           getcwd
  0.62    0.000026           6         4           fcntl
  0.62    0.000026          26         1           futex
  0.55    0.000023          23         1           write
  0.55    0.000023          23         1           prlimit64
  0.52    0.000022          22         1           rseq
  0.38    0.000016           8         2           gettid
  0.31    0.000013          13         1           set_tid_address
  0.21    0.000009           9         1           set_robust_list
  0.05    0.000002           2         1           getgid
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.004199           7       548        64 total
