"","x"
"X_STATE","Confirmed"
"FMONTH","Rejected"
"IDATE","Rejected"
"IMONTH","Rejected"
"IDAY","Rejected"
"IYEAR","Rejected"
"DISPCODE","Confirmed"
"SEQNO","Confirmed"
"X_PSU","Confirmed"
"CTELENM1","Rejected"
"PVTRESD1","Rejected"
"STATERE1","Rejected"
"CELPHONE","Rejected"
"LADULT1","Rejected"
"NUMADULT","Confirmed"
"NUMMEN","Confirmed"
"NUMWOMEN","Confirmed"
"SAFETIME","Rejected"
"CTELNUM1","Rejected"
"CELLFON5","Rejected"
"CADULT1","Rejected"
"CELLSEX","Confirmed"
"PVTRESD3","Rejected"
"CSTATE1","Rejected"
"LANDLINE","Rejected"
"HHADULT","Confirmed"
"SEXVAR","Confirmed"
"GENHLTH","Confirmed"
"PHYSHLTH","Confirmed"
"HLTHPLN1","Rejected"
"PERSDOC2","Rejected"
"MEDCOST","Rejected"
"CHECKUP1","Rejected"
"EXERANY2","Rejected"
"SLEPTIM1","Tentative"
"CVDINFR4","Rejected"
"CVDCRHD4","Rejected"
"CVDSTRK3","Rejected"
"ASTHMA3","Tentative"
"CHCSCNCR","Rejected"
"CHCOCNCR","Rejected"
"CHCCOPD2","Confirmed"
"HAVARTH4","Confirmed"
"CHCKDNY2","Tentative"
"DIABETE4","Rejected"
"LASTDEN4","Rejected"
"RMVTETH4","Rejected"
"MARITAL","Confirmed"
"EDUCA","Rejected"
"RENTHOM1","Tentative"
"NUMHHOL3","Confirmed"
"CPDEMO1B","Confirmed"
"VETERAN3","Confirmed"
"EMPLOY1","Confirmed"
"CHILDREN","Rejected"
"INCOME2","Tentative"
"WEIGHT2","Confirmed"
"HEIGHT3","Confirmed"
"DEAF","Tentative"
"BLIND","Rejected"
"DECIDE","Confirmed"
"DIFFWALK","Confirmed"
"DIFFDRES","Tentative"
"DIFFALON","Confirmed"
"SMOKE100","Confirmed"
"SMOKDAY2","Tentative"
"LASTSMK2","Rejected"
"USENOW3","Rejected"
"ALCDAY5","Tentative"
"AVEDRNK3","Rejected"
"DRNK3GE5","Rejected"
"MAXDRNKS","Rejected"
"FLUSHOT7","Rejected"
"FLSHTMY3","Rejected"
"SHINGLE2","Rejected"
"PNEUVAC4","Rejected"
"FALL12MN","Confirmed"
"SEATBELT","Rejected"
"DRNKDRI2","Rejected"
"HADMAM","Confirmed"
"HOWLONG","Confirmed"
"HADPAP2","Rejected"
"LASTPAP2","Confirmed"
"HPVTEST","Confirmed"
"HADHYST2","Confirmed"
"PCPSAAD3","Confirmed"
"PCPSADI1","Confirmed"
"PCPSARE1","Confirmed"
"PSATEST1","Confirmed"
"COLNSCPY","Rejected"
"COLNTEST","Rejected"
"SIGMSCPY","Rejected"
"BLDSTOL1","Rejected"
"STOOLDNA","Rejected"
"VIRCOLON","Rejected"
"HIVTST7","Confirmed"
"HIVTSTD3","Confirmed"
"HIVRISK5","Rejected"
"PDIABTST","Rejected"
"PREDIAB1","Tentative"
"ECIGARET","Confirmed"
"MARIJAN1","Rejected"
"SOMALE","Rejected"
"SOFEMALE","Rejected"
"TRNSGNDR","Rejected"
"ACEDEPRS","Confirmed"
"ACEDRINK","Confirmed"
"ACEDRUGS","Confirmed"
"ACEPRISN","Confirmed"
"ACEDIVRC","Confirmed"
"ACEPUNCH","Confirmed"
"ACEHURT1","Confirmed"
"ACESWEAR","Confirmed"
"ACETOUCH","Confirmed"
"ACETTHEM","Confirmed"
"ACEHVSEX","Confirmed"
"QSTVER","Confirmed"
"QSTLANG","Rejected"
"X_METSTAT","Rejected"
"X_URBSTAT","Rejected"
"MSCODE","Confirmed"
"X_STSTR","Confirmed"
"X_STRWT","Confirmed"
"X_RAWRAKE","Confirmed"
"X_WT2RAKE","Confirmed"
"X_IMPRACE","Tentative"
"X_CHISPNC","Rejected"
"X_DUALUSE","Confirmed"
"X_DUALCOR","Confirmed"
"X_LLCPWT2","Confirmed"
"X_LLCPWT","Confirmed"
"X_RFHLTH","Confirmed"
"X_PHYS14D","Confirmed"
"X_HCVU651","Confirmed"
"X_TOTINDA","Rejected"
"X_MICHD","Tentative"
"X_LTASTH1","Tentative"
"X_CASTHM1","Confirmed"
"X_ASTHMS1","Confirmed"
"X_DRDXAR2","Confirmed"
"X_EXTETH3","Rejected"
"X_ALTETH3","Rejected"
"X_DENVST3","Rejected"
"X_PRACE1","Rejected"
"X_MRACE1","Rejected"
"X_HISPANC","Rejected"
"X_RACE","Tentative"
"X_RACEG21","Tentative"
"X_RACEGR3","Tentative"
"X_RACEPRV","Tentative"
"X_SEX","Confirmed"
"X_AGEG5YR","Confirmed"
"X_AGE65YR","Confirmed"
"X_AGE80","Confirmed"
"X_AGE_G","Confirmed"
"HTIN4","Confirmed"
"HTM4","Confirmed"
"WTKG3","Confirmed"
"X_BMI5","Confirmed"
"X_BMI5CAT","Rejected"
"X_RFBMI5","Confirmed"
"X_CHLDCNT","Rejected"
"X_EDUCAG","Rejected"
"X_INCOMG","Tentative"
"X_SMOKER3","Confirmed"
"X_RFSMOK3","Confirmed"
"DRNKANY5","Confirmed"
"DROCDY3_","Confirmed"
"X_RFBING5","Confirmed"
"X_DRNKWK1","Confirmed"
"X_RFDRHV7","Tentative"
"X_FLSHOT7","Rejected"
"X_PNEUMO3","Tentative"
"X_RFSEAT2","Confirmed"
"X_RFSEAT3","Confirmed"
"X_DRNKDRV","Rejected"
"X_RFMAM22","Confirmed"
"X_RFPAP35","Rejected"
"X_RFPSA23","Confirmed"
"X_CLNSCPY","Rejected"
"X_SGMSCPY","Rejected"
"X_SGMS10Y","Rejected"
"X_RFBLDS4","Rejected"
"X_STOLDNA","Rejected"
"X_VIRCOLN","Rejected"
"X_SBONTIM","Rejected"
"X_CRCREC1","Rejected"
"X_AIDTST4","Confirmed"
