Time,X
1,4.196576477
2,4.02982425
3,4.131548504
4,4.087065456
5,4.097404491
6,4.235578862
7,4.552147239
8,4.630381803
9,4.944297082
10,4.95146583
11,5.182714865
12,5.338551256
13,5.78705274
14,6.381230185
15,8.229787097
16,7.266701916
17,8.050013129
18,8.746274481
19,9.006772976
20,9.599592423
21,10.26475063
22,9.896087022
23,9.063791203
24,9.033139764
25,10.02568124
26,9.59865499
27,9.866050275
28,10.44540726
29,10.5469661
30,10.44651946
31,10.53130909
32,10.09949234
33,10.21199673
34,10.46668871
35,11.12946049
36,11.77666928
37,11.90051951
38,12.26432201
39,12.2749409
40,12.92474482
41,14.3185381
42,13.13706572
43,13.01727331
44,13.41306805
45,14.66955244
46,15.50426517
47,16.21883058
48,16.46102419
49,17.42701165
50,13.75417087
