Year,Exports
1960,4.969630039
1961,4.899698207
1962,4.809122459
1963,4.870028187
1964,5.103528726
1965,4.98857066
1966,5.018404908
1967,5.048160613
1968,5.082228117
1969,5.08873419
1970,5.549854817
1971,5.391815169
1972,5.524118308
1973,6.669004703
1974,8.177231127
1975,8.212748598
1976,7.963146315
1977,7.639201496
1978,7.930378503
1979,8.743028019
1980,9.808646622
1981,9.506171994
1982,8.466659552
1983,7.613677
1984,7.483444053
1985,6.975559121
1986,6.993227898
1987,7.472849772
1988,8.464351851
1989,8.913368046
1990,9.229296529
1991,9.636019704
1992,9.680747126
1993,9.519215645
1994,9.864046613
1995,10.60551457
1996,10.71072187
1997,11.07979715
1998,10.48479905
1999,10.26828081
2000,10.66464335
2001,9.666070536
2002,9.13238644
2003,9.037519102
2004,9.625368067
2005,9.996398275
2006,10.65479167
2007,11.49790694
2008,12.51439847
2009,11.01165643
