Quarter,Trips
1998 Q1,11.80603762
1998 Q2,9.275662074
1998 Q3,8.64248859
1998 Q4,9.299523781
1999 Q1,11.17202706
1999 Q2,9.607613187
1999 Q3,8.91388652
1999 Q4,9.025688362
2000 Q1,11.07086579
2000 Q2,9.196262322
2000 Q3,9.347505806
2000 Q4,8.984014217
2001 Q1,10.6723143
2001 Q2,9.533492144
2001 Q3,8.807159087
2001 Q4,8.976944848
2002 Q1,10.84261944
2002 Q2,9.232745426
2002 Q3,8.836214135
2002 Q4,9.247541262
2003 Q1,10.50155897
2003 Q2,9.093529881
2003 Q3,8.840542746
2003 Q4,8.841260634
2004 Q1,10.70145955
2004 Q2,9.211266267
2004 Q3,8.924440703
2004 Q4,8.378584249
2005 Q1,10.92898466
2005 Q2,8.066259803
2005 Q3,8.100492517
2005 Q4,7.737041872
2006 Q1,11.21924703
2006 Q2,9.274046516
2006 Q3,7.796211345
2006 Q4,8.928402894
2007 Q1,10.91030538
2007 Q2,9.356412684
2007 Q3,8.617460383
2007 Q4,8.716350936
2008 Q1,11.95149147
2008 Q2,8.499460231
2008 Q3,8.482235614
2008 Q4,8.391106698
2009 Q1,10.13197478
2009 Q2,8.400415311
2009 Q3,8.690303988
2009 Q4,8.26234774
2010 Q1,10.15701681
2010 Q2,8.733927979
2010 Q3,8.60651292
2010 Q4,8.504683333
2011 Q1,9.846442449
2011 Q2,9.009221528
2011 Q3,8.449498627
2011 Q4,8.488633516
2012 Q1,10.26792037
2012 Q2,8.602912139
2012 Q3,8.350376522
2012 Q4,9.237491417
2013 Q1,10.78668543
2013 Q2,9.033303823
2013 Q3,8.781002944
2013 Q4,8.876849286
2014 Q1,11.35529359
2014 Q2,10.19893209
2014 Q3,8.968036328
2014 Q4,9.414327352
2015 Q1,11.63093351
2015 Q2,9.707047532
2015 Q3,9.545954571
2015 Q4,10.04615942
2016 Q1,12.59317813
2016 Q2,9.980198792
2016 Q3,9.939617566
2016 Q4,10.08496467
