temp,RH,wind,rain,area
4.6,82,6.3,0,1.854734268
4.6,59,0.9,0,2.059238834
5.1,77,5.4,0,1.1442228
10.2,45,5.8,0,1.430311247
11.2,41,5.4,0,1.87946505
13.3,27,3.6,0,2.029463172
13.7,33,9.4,0,4.129228964
14.3,79,4,0,1.078409581
17.6,27,5.8,0,0
18,40,4,0,3.675794215
18.2,82,4.5,0,1.166270937
18.2,62,5.4,0,0.357674444
18.5,73,8.5,0,0
19.4,71,7.6,0,3.864931398
20.6,58,1.3,0,0
20.7,69,4.9,0.4,0
21.1,71,7.6,1.4,1.153731588
21.6,65,4.9,0.8,0
21.6,65,4.9,0.8,0
47.1,57,4.9,0,5.633109621
22.7,40,9.4,0,1.432700734
23.4,40,5.8,0,0.828551818
23.9,42,2.2,0,0
24.1,43,6.3,0,1.098612289
24.5,50,3.1,0,4.267176793
25.9,41,3.6,0,0
45.4,41,3.6,0,0
26.1,45,4,0,2.123458427
26.4,35,2.7,0,2.405141681
26.4,34,3.6,0,2.856470206
26.7,35,1.8,0,1.916922612
27.2,28,1.3,0,1.01523068
27.3,63,4.9,6.4,2.469793012
27.5,29,4.5,0,3.791436042
27.8,35,2.7,0,0
27.8,32,2.7,0,2.006870849
49.2,33,4,0,0
2.1,29,4.9,0,3.923753928
29.2,30,4.9,0,1.08180517
30.2,25,4.5,0,1.32175584
30.2,22,4.9,0,0
30.6,28,3.6,0,1.121677562
30.8,30,4.9,0,2.260720889
1.2,27,5.4,0,0
32.3,27,2.2,0,2.752386015
32.4,21,4.5,0,0
32.4,27,2.2,0,0
32.6,26,3.1,0,1.327075001
33.1,25,4,0,3.311637305
33.3,26,2.7,0,3.726656818
