A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,Class
52,52,52,32,0.1,48,32,0,-12.6,52,52,8
48,48,48,28,0.4,44,32,0.4,-16.4,48,44,6
52,44,40,24,-0.8,48,32,-0.9,20.9,44,88,10
64,60,72,40,1.6,52,32,2.1,-12.7,56,48,1
48,52,48,32,0,48,32,-0.2,-12.4,48,52,7
44,44,36,40,0.4,32,44,0.9,-111.4,52,40,14
44,40,44,24,1.3,36,24,1.7,-46.3,40,44,1
48,48,44,24,0.7,36,24,0.9,-20.5,44,48,1
40,44,40,24,0.5,28,16,0.7,-13.9,44,32,1
56,52,44,44,0.1,40,24,0.8,-10.8,56,40,10
40,36,36,40,0.7,28,40,0.1,-35.3,32,56,3
40,40,40,24,0.1,40,24,0.1,-10.1,36,56,1
44,44,72,28,0.6,44,28,1,-1.8,48,52,10
56,52,92,48,0.8,52,36,2.8,11.7,60,12,6
80,44,80,40,0.6,52,32,1.2,0.5,48,12,1
40,48,48,28,1.2,48,20,1.6,-22.6,48,24,1
52,52,48,28,1.3,24,12,2.4,-19.4,56,28,10
48,48,48,28,0.6,32,16,0.1,-20.1,48,40,1
76,48,44,28,1.4,40,28,2.1,-41.6,44,52,1
68,64,56,40,0.4,52,32,0.3,7.7,60,20,1
48,40,36,40,0,48,32,0.6,-8.2,48,28,1
52,40,36,40,0.7,40,24,1.1,-1.4,44,56,1
72,48,44,24,0.4,44,28,1.2,0.9,48,24,1
76,48,72,36,0.5,40,24,1,-13.7,44,48,1
64,52,80,28,0.4,40,24,1,-20.7,48,40,1
76,44,80,24,2.9,32,20,1.9,-50,36,68,16
0,56,44,32,0.5,36,24,1.7,-25.5,56,24,14
48,48,52,28,1.3,64,40,1.2,-12.5,48,52,10
72,52,72,36,0.9,48,32,0.5,-16.9,44,56,2
48,44,60,28,1.1,44,28,0.4,-19.5,44,68,2
32,52,92,28,1,36,24,1.4,-7.7,48,36,6
76,44,80,24,0.1,36,20,0.4,-12.4,48,40,1
48,40,40,32,0.6,36,24,0.8,-17.4,40,36,1
68,40,64,24,1.1,44,16,1.2,-13.8,44,40,1
0,36,44,36,0.8,40,28,1.2,-23.6,36,44,4
72,48,44,24,0.5,36,20,0.9,-16.8,44,24,1
44,52,36,32,0.7,48,32,0,-17.1,52,60,1
48,48,52,28,0.9,52,32,1,-3.4,48,48,10
48,52,56,28,0.7,60,36,0.9,-9.2,52,24,1
56,68,60,36,1,52,56,0.1,-6.2,60,24,6
52,48,52,28,0.3,48,28,1.1,-1.4,52,24,1
76,36,36,20,0.1,40,24,0.7,-20,40,40,1
0,44,44,40,0.6,60,44,0.9,-18.8,44,36,1
0,48,68,48,0.5,52,32,0.1,-11,60,20,1
48,48,72,32,0.2,44,28,0.9,-13.7,44,48,1
64,28,64,16,0.4,36,24,0,-5.3,32,44,4
0,36,36,20,0.2,36,24,0,-12.6,36,44,5
76,48,72,24,0.1,44,24,0.1,-10.9,48,40,1
48,48,40,28,0.2,40,24,0,-21.7,44,36,6
52,48,56,32,1.2,32,20,2,-37.8,48,44,1
40,40,72,20,0.4,32,36,0.5,-8.3,40,44,1
44,40,36,20,0.4,40,28,0.8,-3.8,44,40,1
52,40,48,40,0.9,52,36,0.8,1.7,44,48,10
0,52,60,56,0.2,76,24,0.3,-8.5,60,12,16
52,44,44,40,0.9,48,28,1.1,-24.4,48,48,16
64,60,44,28,0.7,44,28,0.8,-18.9,48,32,6
52,48,76,28,1.1,36,20,1.8,-38.8,48,40,1
48,44,72,24,0.9,40,28,1.5,-37.1,44,56,1
52,48,44,28,0.8,44,28,1.1,-21,48,56,6
68,44,36,36,0.4,40,24,0.6,-26.1,48,44,1
32,24,28,24,0.3,40,24,0.4,9.1,32,36,5
44,44,44,36,0.2,44,24,0.9,-6.7,48,40,5
48,48,40,24,0.6,48,32,0.8,-8.8,44,40,1
52,52,60,28,0.4,52,24,0.5,-22.1,56,36,1
76,48,44,24,0.5,44,28,0.5,-9,52,16,1
48,40,60,24,0.1,36,20,0,-14.1,44,44,1
44,44,48,24,0.7,40,28,0.4,-13.5,40,56,2
48,40,48,32,0.6,52,36,0.4,-0.7,44,24,1
56,56,60,32,0.4,48,24,0.6,-25.8,60,32,6
36,40,40,24,0.1,40,24,0.1,-6,36,40,1
56,56,48,32,0.4,56,40,0.6,-9.2,52,24,6
52,48,48,24,0.6,48,32,0.9,-26.2,44,56,16
0,40,60,48,0.6,40,20,1.2,-27.2,48,24,1
56,52,44,36,0.6,48,24,1.2,-10.2,52,48,1
72,56,68,28,0.4,40,24,0.5,-19.3,56,24,1
0,36,36,36,0.7,52,36,1,-11,36,40,10
0,0,0,0,0.1,0,0,1.7,-46.7,0,0,3
52,52,44,28,0.2,52,36,0.1,-12.2,56,52,2
52,44,48,44,0.5,36,24,0.9,-28.4,44,56,1
52,48,48,28,0.9,40,28,0.9,-24.3,44,48,1
60,52,48,32,1,52,36,1.7,-34.2,52,44,1
0,44,40,40,0.5,52,36,1.1,-17.9,40,48,1
52,48,60,28,0.8,36,24,1.1,-35.3,48,52,2
0,36,32,44,0.8,56,40,0.6,9.2,48,52,4
60,52,40,32,1.2,32,16,1.1,-46.8,52,40,6
128,92,140,104,4,20,12,8.4,-195.3,56,92,9
60,48,56,52,1.8,60,40,0.9,-25.3,48,40,2
0,44,52,48,1.2,60,44,3.2,-28.8,44,44,4
108,96,124,64,4.4,20,12,5.6,-114.6,28,120,9
116,120,120,72,3,32,16,4,-63.5,84,60,9
48,52,52,36,0,36,20,0.3,-29.4,52,52,1
72,40,76,24,0.3,44,28,0.4,-8.1,48,44,4
40,44,44,28,0.1,32,16,1.2,-27.9,40,40,1
44,40,48,20,0.1,40,24,-0.5,-0.3,40,44,5
40,40,32,28,0.1,36,24,0.6,5.1,44,60,10
0,52,36,28,0,52,32,-0.3,12.5,52,36,1
0,40,44,44,0.3,48,24,0.7,8.4,48,40,10
0,48,60,24,0,48,32,0.2,-3.4,44,40,1
44,48,56,36,0.1,28,16,0.3,-29.6,44,60,1
56,48,72,28,0.6,48,32,0.1,-1.6,48,44,1
0,44,48,32,0.5,48,32,0.6,4.6,48,44,4
0,72,44,44,0.4,88,32,1,-23.9,92,0,1
36,32,0,40,0.6,32,20,0.7,-28.1,32,60,1
64,52,56,28,0.7,36,24,0.7,-35.2,60,20,1
52,56,40,28,0.4,56,32,0.2,1.3,56,20,6
84,48,52,28,1.1,44,28,0.9,-18.6,48,56,4
60,64,72,36,0.5,0,0,0.9,-22.5,36,36,6
52,44,44,36,0,48,24,0.1,-11.1,48,40,1
0,44,44,48,-0.2,36,24,1.2,-14,44,44,2
60,56,56,32,1.4,52,32,0,-4.2,52,44,1
48,48,56,32,0.2,40,24,0.1,-2.6,44,44,1
0,32,36,36,0.4,36,20,0.7,-7.6,36,28,1
44,40,44,20,0.4,40,28,0.8,-16.1,40,36,1
40,40,44,32,0.7,36,24,1.1,-45.1,48,36,1
48,40,40,40,1.3,36,24,2,-37.3,48,52,6
36,36,36,32,0.1,40,24,0.9,-8.5,36,20,1
72,40,40,40,1,44,32,1.7,-36.1,40,60,16
44,48,36,24,0,60,40,0,-6.4,52,56,1
0,40,36,20,0.6,40,20,0.7,-18,40,48,1
52,48,48,28,0.7,48,36,0.5,-6.8,52,48,1
52,52,52,32,1.1,48,32,0.6,0.7,48,36,1
40,40,44,24,0.5,32,20,1,-15.6,36,44,1
36,44,52,32,0.6,32,20,1.4,-16.8,44,40,1
40,48,76,24,0.2,32,20,0.2,-4.3,44,36,1
40,48,36,32,1,44,28,0.5,-16.5,44,44,1
0,48,40,36,0.2,60,40,0.9,-0.1,48,28,1
0,32,44,40,0.2,32,36,0.7,-15.6,32,36,1
48,48,60,48,1.5,52,28,1.8,2.7,48,40,10
60,48,64,28,0.1,32,20,0.9,-15.5,40,36,1
92,56,68,44,0.9,60,40,1.1,0,56,52,1
48,40,36,20,0.5,36,24,1.3,-13.2,44,40,1
48,52,48,28,0.6,48,28,0.7,-19,52,40,1
48,48,68,24,0.4,44,32,1.1,-14.7,44,36,1
48,40,36,44,0.1,52,36,0.8,-19.1,44,56,1
48,44,40,24,0.9,36,24,1.1,-5.6,44,44,10
84,44,36,24,0.5,40,24,0.9,-30.9,48,48,1
76,48,52,36,0.7,40,24,1.1,-18.1,48,40,1
0,52,44,24,2.2,44,32,0.6,-10.6,44,68,10
84,44,84,44,0.1,40,24,0.6,-10.4,48,40,1
48,40,64,24,0.5,44,32,1.3,-13.2,40,44,1
76,52,48,28,1,52,36,1.7,-31.3,48,24,1
40,44,28,24,-1,40,24,0,7.3,40,32,5
48,44,84,20,0.7,52,36,1.2,-9.5,44,60,1
84,48,48,24,0.4,52,36,1,-8.4,52,24,1
40,44,36,24,0.1,48,32,0.6,-13.6,48,44,10
40,44,44,24,0.7,44,28,1.2,-20.9,44,44,10
0,40,40,40,0.7,44,28,2,-34.1,36,48,10
0,44,56,20,0.5,52,32,1.4,-13.1,52,44,1
40,40,40,20,0.1,44,32,0.1,-4.7,40,48,1
40,40,40,40,0.1,52,36,0.9,-6.7,44,44,10
44,40,40,16,0.6,48,32,0.7,-14.6,48,36,1
52,52,52,28,-0.1,44,24,1.5,-18.9,60,40,1
36,44,40,20,0.5,48,32,0.9,-16.8,44,48,1
48,52,52,28,0.6,20,76,0.4,-10.2,60,16,6
48,52,64,28,0.4,52,32,0.5,-16.9,52,20,16
56,44,52,36,0.1,44,28,0.5,-17.3,44,52,1
56,48,52,24,0.5,44,28,0.6,-13.8,52,36,1
52,48,40,28,0.4,48,36,0.6,-21.1,44,60,2
84,76,136,28,-0.9,48,32,1.7,-24.4,64,0,1
48,44,68,24,0.1,36,24,1.3,-9.4,40,48,1
52,48,48,40,0.7,60,36,1.3,-5.8,44,40,1
48,48,80,32,1,40,24,1.1,-23.1,44,48,1
68,44,68,44,0.5,44,32,0.8,-26.7,36,68,1
44,60,48,36,-0.2,48,28,0.1,-2,56,24,1
56,48,52,40,0.4,56,36,0.4,-5.5,52,28,1
48,52,48,28,0.5,48,40,0.6,-26.5,52,36,1
36,36,36,20,0.2,32,20,0.6,-9.6,36,36,1
40,40,60,32,1.1,32,20,2,-18.2,48,24,1
40,36,48,36,0.1,40,28,-0.1,-15.6,36,52,5
0,44,60,48,1.6,44,32,2.7,-29.1,48,44,4
56,44,52,40,0.7,48,32,0.6,-29.4,52,64,1
40,44,56,24,0.9,44,28,0.8,-9.6,44,68,1
52,48,56,28,1.2,40,24,2.3,-49.4,48,40,1
0,40,44,40,0.7,56,40,0.4,10.6,40,40,10
56,48,44,24,1.2,40,28,0,-30.7,44,40,15
48,44,60,24,0.4,40,24,0,-17.5,40,48,6
68,56,48,32,0.8,44,28,0.9,-13.8,52,32,1
44,44,40,32,0,48,28,0.2,-11.7,44,36,1
0,44,48,40,1.3,40,40,0.7,7.1,40,44,1
56,52,52,32,0.4,48,28,0.3,-10,52,40,2
84,52,40,24,0.4,44,28,0.6,-32.7,48,40,1
48,48,88,24,1.4,56,44,2.2,-35.4,48,36,16
0,36,36,44,1.3,40,28,0.7,-6.6,32,52,1
0,44,44,40,0.5,40,28,1.2,-29.9,48,44,4
56,36,52,28,0.8,24,12,1,-25.5,32,36,2
0,44,36,40,-0.1,60,40,-0.3,18.3,56,40,4
48,44,36,24,0.6,36,20,2,-51.1,44,52,2
0,32,36,44,0.8,28,40,0.6,-28.5,36,68,2
64,68,76,44,1,28,16,1.2,-29.6,64,56,14
116,108,120,60,3.8,32,16,3.9,-74.1,44,104,9
36,44,64,28,0.9,16,8,1.4,-44.1,36,40,1
76,44,48,28,0.9,40,24,1.5,-39.6,44,36,1
52,60,72,40,0.7,60,44,-0.5,29,60,40,2
52,48,48,44,0.6,36,20,0.2,-16.6,52,32,2
0,40,48,48,1,52,40,1.6,-19,44,36,1
40,48,40,24,0.6,44,28,0.1,-4.8,48,40,1
52,52,44,40,0.1,36,20,1,-42.9,60,36,1
44,48,44,44,0.9,48,44,0.4,-5.4,48,40,16
0,56,20,48,0,40,32,2.4,-67.7,48,56,16
88,48,68,40,0.8,52,36,1.3,-31.3,44,56,1
44,44,44,24,0.1,44,28,-0.2,-8.8,48,44,2
56,56,60,28,0.1,52,28,0,-4.9,48,24,1
68,44,60,28,1.5,44,32,0.9,-40.9,40,52,1
48,48,52,24,0.1,48,28,0.6,-7.1,52,20,1
64,28,36,32,1.9,0,0,4,-127.2,0,0,3
48,52,40,24,0.5,56,36,0.7,-6,52,20,1
44,44,44,28,0.1,44,28,0.1,-9.4,48,60,1
128,136,136,96,3,28,16,4.7,-118.3,40,76,9
64,52,56,40,1.3,40,24,1.1,-25.1,60,36,1
52,52,40,28,0.9,56,40,0.4,-7.5,56,40,10
44,36,44,20,-1.2,40,28,-0.1,-8.4,44,56,10
32,36,32,32,0,36,24,1,-16.1,40,40,1
48,44,48,28,1.2,44,32,2,-26.5,44,48,2
0,48,48,44,1.8,40,24,2.8,-59,44,56,2
44,44,40,40,-0.4,52,36,-1,4.1,52,52,4
40,40,44,24,0.1,48,32,0.9,-5.4,40,32,1
56,48,56,44,0.9,32,20,1.1,-22.6,44,40,2
68,36,48,24,0.5,0,0,0.5,-24.6,0,0,15
28,0,28,0,0.4,0,0,1.2,-57.6,0,0,3
56,48,40,28,0.7,44,28,0.5,-14.9,48,60,16
48,48,44,28,0,52,36,-0.5,-4.5,44,40,1
44,44,44,20,0.5,44,28,1.2,4.4,44,40,1
0,48,48,44,0.2,48,32,0.7,-10,56,44,6
84,44,40,24,-0.1,44,28,0.4,1.1,48,44,1
44,40,36,24,0.4,40,28,0.8,5.2,44,48,10
88,40,36,44,0.1,0,0,0.6,-25.5,28,40,3
44,48,40,28,0.8,32,20,1.1,-26.8,48,36,1
56,56,60,32,1.1,0,0,2.7,-28.9,64,0,16
48,44,48,24,0.5,48,32,1.6,-29.8,44,52,1
80,44,36,40,0.6,52,36,0.8,4.4,44,16,1
72,48,52,24,0.9,44,28,1.1,-2.9,44,28,1
0,64,60,60,1.3,56,32,0,23.9,64,0,4
44,40,40,24,0.5,40,24,0.7,-12.2,40,12,1
72,64,52,28,1.4,52,36,2.8,-48.8,52,40,1
56,52,44,48,1.1,60,40,1.7,9.3,56,24,1
60,56,64,36,1.4,48,32,1.7,-10.5,48,60,2
80,40,36,40,0.6,44,28,1,-21.2,44,24,1
40,48,40,44,1.3,44,28,-0.1,-23.2,44,52,2
72,48,68,24,0.2,44,28,0.5,-1.7,48,32,1
0,48,48,44,0.1,52,32,-0.2,5.3,52,32,1
40,48,44,24,0,40,24,-0.1,-17.6,48,56,1
52,56,56,36,1.8,40,28,1.1,-21,44,56,1
0,48,40,36,0.2,56,40,0.1,-11.7,52,48,1
68,44,44,32,0.2,40,24,0.1,-23.4,40,52,15
56,56,48,32,0.6,44,24,0.6,-12.5,56,48,1
44,44,48,28,0.9,40,24,0.8,-20.5,44,56,2
76,84,100,36,1.5,20,12,2.7,-47,84,0,1
48,40,48,24,0.7,40,24,0.5,-5.1,36,40,1
48,36,48,24,0.4,28,16,0.7,-19.8,24,44,4
36,36,36,24,0.4,40,24,1.1,2.8,44,24,1
40,36,44,36,0.2,40,28,0.3,-17.1,44,52,10
0,44,48,48,0.8,60,24,1.4,1.4,52,40,4
36,40,52,32,0.9,0,0,1,-34.8,16,56,3
72,60,64,44,1.1,0,0,2,-58.5,44,52,3
40,48,48,28,0.2,44,28,0.4,-17.8,44,56,1
48,48,40,24,0.7,40,24,1.4,-27.9,40,36,1
0,40,52,44,1.2,40,24,1.3,-21.6,44,48,2
0,20,28,40,1,0,0,1.5,-60.5,0,0,3
44,40,48,20,0.6,40,24,0,-23,40,40,5
60,56,60,28,1.4,32,24,1.7,-28.7,44,44,2
56,60,56,36,1,48,16,0.7,-16.4,52,36,1
36,40,36,20,0.2,40,28,0.1,-0.3,40,44,16
44,52,40,24,0,52,32,0.1,-0.1,60,40,1
52,48,48,28,0.7,44,28,0.9,-14.9,52,48,1
48,44,44,20,0.9,40,24,1.3,-23.1,48,44,1
48,44,40,28,0.7,40,28,1.1,-10.7,44,44,1
52,56,40,28,0.4,44,24,1.6,-9.9,56,44,10
40,40,44,28,0.8,40,28,0.6,-1.4,44,56,1
44,48,40,24,0.4,48,28,0,6.9,44,56,1
44,44,36,28,-0.1,52,36,0.1,-2.4,52,48,1
48,48,44,28,0.1,56,40,0.1,-8.4,52,40,1
44,48,40,28,0.1,48,28,0.3,3.3,48,12,1
44,40,48,44,0.1,44,28,0.1,-17.7,44,52,6
40,44,40,28,-0.1,44,28,-0.2,-5.2,40,44,1
44,40,44,24,0.5,48,32,0.1,-13.6,48,52,1
72,48,76,28,0.4,40,24,0.6,-13.9,44,48,2
64,56,76,32,1,68,48,1.6,-1.8,56,20,1
52,52,52,32,-0.2,44,28,0,-27.6,48,44,2
76,52,80,28,0.7,40,24,1.1,-8,52,20,10
48,52,44,32,0.9,52,32,1.2,-25.4,56,40,1
48,48,60,32,0.8,48,32,1.4,-19.2,48,28,1
56,48,56,32,1.5,52,36,1.7,4.8,52,48,1
44,44,44,28,0.8,48,32,1.1,-6.2,48,36,1
40,44,72,24,0.6,48,36,0.1,-16.2,44,48,6
56,40,88,24,1.1,44,28,1.6,7.8,44,68,10
32,44,48,44,-0.2,0,0,-0.1,-13.8,36,48,3
48,52,56,28,0.9,48,32,1,-13.6,48,36,1
44,52,40,28,0.6,36,20,0.8,-29.1,48,48,1
0,44,60,48,0.1,48,36,0.5,-19.1,36,40,1
