R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Class
0.23,0.08,0.02,0.03,0.46,0.12,0.19,10.36,1.17,0.4,0
0.19,0.07,0.09,0.12,0.02,0.02,0.03,3.13,1.73,0.6,0
0.07,0.02,0.03,0.05,0.06,0.1,0.14,2.41,1.36,0.41,0
0.07,0.03,0.04,0.04,0.04,0.06,0.06,5.55,1.13,0.44,0
0.09,0.02,0.03,0.04,0.06,0.08,0.11,2.85,1.88,0.42,0
0.24,0.07,0.14,0.22,0.1,0.18,0.29,2.34,1.37,0.43,0
0.08,0.04,0.02,0.03,0.3,0.13,0.21,3.72,0.82,0.42,0
0.1,0.02,0.02,0.04,-0.05,-0.06,-0.09,8.91,1.17,0.24,0
0.16,0.09,0.07,0.1,0.1,0.08,0.11,1.31,1.64,0.91,0
0.16,0.08,0.06,0.08,0.03,0.02,0.03,1.46,1.58,0.75,0
0.1,0.04,0.07,0.07,0.02,0.04,0.04,5.88,0.83,0.32,0
0.06,0.04,0.03,0.05,-0.11,-0.08,-0.13,0.84,1.73,1.15,0
0.32,0.1,0.14,0.21,-0.01,-0.02,-0.03,2.17,1.82,0.55,0
0.05,0.02,0.03,0.04,-0.01,-0.02,-0.02,2.45,1.3,0.64,0
0.18,0.07,0.12,0.14,-0.11,-0.17,-0.2,3.63,1.28,0.51,0
0.07,0.01,0.02,0.02,-0.01,-0.02,-0.03,97.53,1.47,0.15,0
0.17,0.02,0.08,0.1,0.01,0.03,0.04,4.09,1.72,0.25,0
0.11,0.04,0.07,0.09,0.02,0.04,0.05,3.31,1.39,0.51,0
0.15,0.02,0.06,0.09,0.03,0.07,0.11,4.53,1.48,0.23,0
0.07,0.02,0.04,0.05,0.01,0.02,0.02,2.82,1.6,0.6,0
0.32,0.07,0.11,0.25,-0.06,-0.1,-0.22,4.46,1.42,0.3,0
0.07,0.01,0.03,0.04,0.01,0.02,0.03,8.7,1.11,0.11,0
0.24,0.1,0.07,0.1,0.03,0.02,0.04,5.62,1.5,0.61,0
0.11,0.09,0.03,0.03,0.2,0.06,0.07,3.3,0.84,0.69,0
0,0,0,0,-0.03,-0.04,-0.03,6.89,0.65,0.48,0
0.02,0.01,0.01,0.01,-0.01,-0.02,-0.02,2.66,1.08,0.45,0
0.04,0.02,0.02,0.03,0.01,0.01,0.01,11.02,1.01,0.4,0
0.08,0.03,0.03,0.05,0.02,0.02,0.03,2.65,1.34,0.52,0
1.14,0.37,0.28,0.31,-0.02,-0.01,-0.01,1.66,3.3,1.06,0
0.03,0.01,0.02,0.02,-0.01,-0.03,-0.04,2.8,1.37,0.4,0
0.55,0.04,0.07,0.16,0.05,0.1,0.23,4.64,2.38,0.16,0
0.25,0.04,0.04,0.05,0.04,0.04,0.06,34.93,0.96,0.14,0
0.07,0.04,0.05,0.06,0.04,0.05,0.06,2.68,1.19,0.66,0
0.07,0.04,0.03,0.04,-0.01,-0.01,-0.02,2.09,1.53,0.81,0
0.06,0.01,0.03,0.05,0.03,0.09,0.14,2.97,1.45,0.26,0
0.06,0.02,0.02,0.03,0.01,0.02,0.03,3.45,1.56,0.47,0
0.03,0.01,0.02,0.03,0.14,0.2,0.3,0.38,1.31,0.47,0
0.06,0.02,0.03,0.04,0.13,0.16,0.21,2.54,1.56,0.67,0
0.08,0.01,0.02,0.03,0.02,0.03,0.04,8.45,1.02,0.16,0
0.21,0.03,0.06,0.08,0.01,0.01,0.02,2,2.05,0.29,0
0.07,0.02,0.03,0.04,0.03,0.06,0.08,3.65,1.58,0.4,0
0.03,0.01,0.02,0.03,0.1,0.13,0.27,36.74,1.16,0.43,0
