age,contact,month,duration,pdays,previous,y
30,cellular,oct,79,-1,0,no
43,cellular,nov,11,-1,0,no
48,cellular,may,612,344,1,no
29,cellular,jul,83,-1,0,no
59,unknown,may,226,-1,0,no
36,unknown,may,1044,-1,0,no
36,cellular,may,341,330,2,no
55,cellular,aug,159,-1,0,no
41,unknown,may,57,-1,0,no
34,cellular,mar,114,467,5,no
39,unknown,may,273,-1,0,no
43,cellular,apr,113,-1,0,no
42,cellular,nov,193,-1,0,no
31,cellular,jan,89,241,1,no
40,cellular,aug,189,-1,0,no
56,cellular,aug,239,-1,0,no
37,cellular,apr,114,152,2,no
25,unknown,may,250,-1,0,no
31,cellular,jul,148,152,1,no
43,cellular,nov,110,-1,0,no
42,cellular,nov,140,-1,0,no
44,unknown,jun,109,-1,0,no
31,cellular,nov,89,-1,0,no
29,cellular,jul,88,-1,0,no
70,telephone,may,338,185,2,no
55,unknown,may,247,-1,0,no
40,cellular,nov,64,-1,0,no
56,cellular,jul,149,-1,0,no
53,cellular,aug,74,-1,0,no
31,cellular,aug,81,-1,0,no
59,cellular,nov,40,-1,0,no
42,unknown,may,150,-1,0,no
23,unknown,may,16,-1,0,no
37,unknown,may,359,-1,0,no
38,unknown,may,364,-1,0,no
37,unknown,jun,66,-1,0,no
44,cellular,jun,130,-1,0,no
32,cellular,nov,11,-1,0,no
34,unknown,may,105,-1,0,no
30,unknown,jun,159,-1,0,no
40,cellular,feb,15,-1,0,no
32,cellular,feb,204,-1,0,no
37,cellular,aug,1740,-1,0,no
38,cellular,aug,98,-1,0,no
53,cellular,jul,272,-1,0,no
48,telephone,jul,159,-1,0,no
57,telephone,feb,140,-1,0,no
28,unknown,may,452,-1,0,no
36,unknown,may,314,-1,0,no
37,unknown,may,645,-1,0,no
33,unknown,may,410,-1,0,no
63,cellular,oct,323,-1,0,no
35,cellular,aug,112,-1,0,no
48,cellular,jul,134,-1,0,no
56,cellular,oct,223,-1,0,no
44,telephone,jul,73,-1,0,no
55,telephone,jul,208,-1,0,no
29,cellular,jul,130,-1,0,no
41,cellular,jul,630,-1,0,no
32,cellular,nov,164,-1,0,no
42,unknown,may,380,-1,0,no
31,unknown,may,154,-1,0,no
41,unknown,jun,154,-1,0,no
56,unknown,may,221,-1,0,no
39,cellular,may,561,369,3,no
41,cellular,may,367,297,1,no
40,cellular,aug,87,-1,0,no
50,cellular,feb,701,-1,0,no
40,cellular,nov,204,196,1,no
54,unknown,jun,23,-1,0,no
28,cellular,may,150,-1,0,no
45,cellular,jan,244,-1,0,no
41,cellular,jul,60,-1,0,no
35,unknown,may,521,-1,0,no
38,cellular,apr,279,-1,0,no
57,unknown,may,191,-1,0,no
39,cellular,nov,201,-1,0,no
59,unknown,jun,48,-1,0,no
40,cellular,nov,147,-1,0,no
39,cellular,apr,433,-1,0,no
40,telephone,jul,742,-1,0,no
41,unknown,may,149,-1,0,no
30,cellular,oct,233,137,20,no
32,cellular,aug,98,-1,0,no
36,unknown,may,337,-1,0,no
26,cellular,oct,116,-1,0,no
49,telephone,nov,345,-1,0,no
57,telephone,may,65,-1,0,no
34,unknown,aug,9,-1,0,no
32,cellular,apr,259,145,3,no
38,unknown,jun,179,-1,0,no
33,cellular,feb,280,-1,0,no
27,cellular,jul,435,-1,0,no
31,unknown,may,146,-1,0,no
32,cellular,jul,317,-1,0,no
