"","age","contact","month","duration","pdays","previous","y"
"1",30,"cellular","oct",79,-1,0,"no"
"2",43,"cellular","nov",11,-1,0,"no"
"3",48,"cellular","may",612,344,1,"no"
"4",29,"cellular","jul",83,-1,0,"no"
"5",59,"unknown","may",226,-1,0,"no"
"6",36,"unknown","may",1044,-1,0,"no"
"7",36,"cellular","may",341,330,2,"no"
"8",55,"cellular","aug",159,-1,0,"no"
"9",41,"unknown","may",57,-1,0,"no"
"10",34,"cellular","mar",114,467,5,"no"
"11",39,"unknown","may",273,-1,0,"no"
"12",43,"cellular","apr",113,-1,0,"no"
"13",42,"cellular","nov",193,-1,0,"no"
"14",31,"cellular","jan",89,241,1,"no"
"15",40,"cellular","aug",189,-1,0,"no"
"16",56,"cellular","aug",239,-1,0,"no"
"17",37,"cellular","apr",114,152,2,"no"
"18",25,"unknown","may",250,-1,0,"no"
"19",31,"cellular","jul",148,152,1,"no"
"20",43,"cellular","nov",110,-1,0,"no"
"21",42,"cellular","nov",140,-1,0,"no"
"22",44,"unknown","jun",109,-1,0,"no"
"23",31,"cellular","nov",89,-1,0,"no"
"24",29,"cellular","jul",88,-1,0,"no"
"25",70,"telephone","may",338,185,2,"no"
"26",55,"unknown","may",247,-1,0,"no"
"27",40,"cellular","nov",64,-1,0,"no"
"28",56,"cellular","jul",149,-1,0,"no"
"29",53,"cellular","aug",74,-1,0,"no"
"30",31,"cellular","aug",81,-1,0,"no"
"31",59,"cellular","nov",40,-1,0,"no"
"32",42,"unknown","may",150,-1,0,"no"
"33",23,"unknown","may",16,-1,0,"no"
"34",37,"unknown","may",359,-1,0,"no"
"35",38,"unknown","may",364,-1,0,"no"
"36",37,"unknown","jun",66,-1,0,"no"
"37",44,"cellular","jun",130,-1,0,"no"
"38",32,"cellular","nov",11,-1,0,"no"
"39",34,"unknown","may",105,-1,0,"no"
"40",30,"unknown","jun",159,-1,0,"no"
"41",40,"cellular","feb",15,-1,0,"no"
"42",32,"cellular","feb",204,-1,0,"no"
"43",37,"cellular","aug",1740,-1,0,"no"
"44",38,"cellular","aug",98,-1,0,"no"
"45",53,"cellular","jul",272,-1,0,"no"
"46",48,"telephone","jul",159,-1,0,"no"
"47",57,"telephone","feb",140,-1,0,"no"
"48",28,"unknown","may",452,-1,0,"no"
"49",36,"unknown","may",314,-1,0,"no"
"50",37,"unknown","may",645,-1,0,"no"
"51",33,"unknown","may",410,-1,0,"no"
"52",63,"cellular","oct",323,-1,0,"no"
"53",35,"cellular","aug",112,-1,0,"no"
