"","age","contact","month","duration","pdays","previous","y"
"1",55,"unknown","jun",108,-1,0,"no"
"2",48,"cellular","aug",348,-1,0,"no"
"3",34,"cellular","jul",1156,-1,0,"no"
"4",35,"cellular","may",52,91,1,"no"
"5",50,"cellular","aug",195,-1,0,"no"
"6",50,"cellular","apr",736,-1,0,"no"
"7",46,"telephone","nov",192,-1,0,"no"
"8",46,"unknown","may",293,-1,0,"no"
"9",48,"cellular","may",17,-1,0,"no"
"10",36,"cellular","may",9,-1,0,"no"
"11",57,"telephone","apr",137,-1,0,"no"
"12",53,"cellular","may",109,87,2,"no"
"13",49,"unknown","nov",56,103,2,"no"
"14",35,"unknown","may",116,-1,0,"no"
"15",43,"cellular","jul",88,-1,0,"no"
"16",30,"cellular","nov",756,-1,0,"no"
"17",31,"cellular","jul",357,-1,0,"no"
"18",31,"unknown","may",231,-1,0,"no"
"19",27,"unknown","may",332,-1,0,"no"
"20",45,"unknown","jun",74,-1,0,"no"
"21",31,"cellular","aug",445,-1,0,"no"
"22",46,"telephone","feb",151,-1,0,"no"
"23",36,"telephone","aug",240,107,4,"no"
"24",57,"unknown","may",174,-1,0,"no"
"25",49,"unknown","jun",147,-1,0,"no"
"26",32,"unknown","may",127,-1,0,"no"
"27",23,"unknown","jun",111,-1,0,"no"
"28",56,"telephone","nov",99,-1,0,"no"
"29",48,"cellular","jan",255,-1,0,"no"
"30",34,"cellular","jun",298,-1,0,"no"
"31",54,"unknown","jun",23,-1,0,"no"
"32",39,"cellular","apr",244,-1,0,"no"
"33",40,"cellular","may",55,298,4,"no"
"34",23,"unknown","may",16,-1,0,"no"
"35",31,"unknown","jun",431,-1,0,"no"
"36",31,"cellular","nov",129,-1,0,"no"
"37",47,"cellular","jul",9,-1,0,"no"
"38",47,"cellular","aug",293,-1,0,"no"
"39",34,"cellular","may",191,294,1,"no"
"40",66,"cellular","jun",971,-1,0,"no"
"41",57,"cellular","aug",162,-1,0,"no"
"42",38,"telephone","jan",208,247,2,"no"
"43",34,"cellular","jul",134,-1,0,"no"
"44",32,"cellular","aug",131,-1,0,"no"
"45",25,"cellular","jul",339,-1,0,"no"
"46",45,"cellular","jul",311,-1,0,"no"
"47",58,"telephone","jul",264,-1,0,"no"
"48",40,"cellular","nov",52,152,6,"no"
"49",31,"unknown","may",247,-1,0,"no"
"50",50,"cellular","nov",35,176,1,"no"
"51",32,"unknown","may",546,-1,0,"no"
"52",33,"cellular","nov",374,-1,0,"no"
"53",38,"unknown","jun",1030,-1,0,"no"
"54",43,"cellular","nov",230,-1,0,"no"
"55",31,"unknown","may",144,-1,0,"no"
"56",29,"cellular","aug",91,-1,0,"no"
"57",31,"cellular","feb",343,-1,0,"no"
"58",41,"unknown","jun",95,-1,0,"no"
"59",37,"telephone","jul",109,-1,0,"no"
"60",41,"telephone","nov",94,130,3,"no"
"61",31,"cellular","aug",275,-1,0,"no"
"62",31,"cellular","feb",577,-1,0,"no"
"63",36,"unknown","may",284,-1,0,"no"
"64",57,"unknown","jun",230,-1,0,"no"
"65",28,"cellular","aug",119,-1,0,"no"
"66",39,"unknown","jun",147,-1,0,"no"
"67",31,"cellular","jul",148,152,1,"no"
"68",57,"telephone","feb",140,-1,0,"no"
"69",45,"cellular","jul",32,-1,0,"no"
"70",57,"unknown","jun",69,-1,0,"no"
"71",49,"unknown","jun",66,-1,0,"no"
"72",43,"cellular","may",118,102,2,"no"
"73",33,"cellular","aug",216,-1,0,"no"
"74",57,"unknown","may",139,-1,0,"no"
"75",32,"cellular","may",82,363,2,"no"
"76",59,"telephone","feb",251,-1,0,"no"
"77",50,"unknown","may",54,-1,0,"no"
"78",50,"cellular","may",157,299,3,"no"
"79",80,"telephone","apr",681,118,11,"no"
"80",35,"unknown","may",371,-1,0,"no"
"81",54,"cellular","jul",118,-1,0,"no"
"82",33,"unknown","may",863,-1,0,"no"
"83",55,"telephone","jul",340,-1,0,"no"
"84",33,"cellular","may",72,370,1,"no"
"85",41,"unknown","jun",35,-1,0,"no"
"86",37,"cellular","may",199,173,2,"no"
"87",34,"unknown","may",160,-1,0,"no"
"88",30,"unknown","may",614,-1,0,"no"
"89",37,"unknown","jun",247,-1,0,"no"
"90",70,"telephone","may",338,185,2,"no"
"91",38,"unknown","may",364,-1,0,"no"
"92",49,"unknown","may",233,-1,0,"no"
"93",38,"telephone","jul",293,-1,0,"no"
"94",34,"cellular","oct",76,69,2,"no"
"95",52,"unknown","may",144,-1,0,"no"
"96",51,"cellular","aug",312,-1,0,"no"
"97",31,"unknown","may",203,-1,0,"no"
"98",32,"cellular","may",159,350,2,"no"
"99",36,"unknown","jul",85,-1,0,"no"
"100",30,"cellular","apr",158,-1,0,"no"
"101",40,"unknown","may",125,-1,0,"no"
"102",41,"cellular","jul",155,-1,0,"no"
"103",34,"cellular","aug",279,117,1,"no"
"104",48,"cellular","apr",528,-1,0,"no"
"105",47,"cellular","jul",676,-1,0,"no"
"106",38,"cellular","apr",196,315,2,"no"
"107",45,"cellular","aug",113,-1,0,"no"
"108",31,"unknown","may",730,-1,0,"no"
"109",59,"cellular","jul",247,-1,0,"no"
"110",53,"cellular","nov",183,-1,0,"no"
"111",43,"cellular","feb",169,-1,0,"no"
"112",52,"telephone","nov",117,-1,0,"no"
"113",50,"cellular","jul",248,-1,0,"no"
"114",57,"unknown","jun",215,-1,0,"no"
"115",32,"cellular","aug",116,-1,0,"no"
"116",60,"cellular","aug",122,-1,0,"no"
"117",30,"cellular","aug",696,-1,0,"no"
"118",43,"unknown","jun",217,-1,0,"no"
"119",30,"cellular","jul",358,-1,0,"no"
"120",36,"unknown","may",99,-1,0,"no"
"121",44,"unknown","jun",218,-1,0,"no"
"122",37,"unknown","may",219,-1,0,"no"
"123",44,"cellular","jul",196,-1,0,"no"
"124",31,"cellular","aug",81,-1,0,"no"
"125",35,"unknown","may",427,-1,0,"no"
"126",31,"cellular","nov",190,-1,0,"no"
"127",52,"cellular","jul",374,-1,0,"no"
"128",58,"cellular","jul",255,-1,0,"no"
"129",26,"unknown","may",371,-1,0,"no"
"130",46,"cellular","aug",71,-1,0,"no"
"131",32,"cellular","aug",209,-1,0,"no"
"132",50,"cellular","feb",701,-1,0,"no"
"133",54,"cellular","nov",71,-1,0,"no"
"134",57,"cellular","aug",118,-1,0,"no"
"135",30,"cellular","feb",465,-1,0,"no"
"136",59,"cellular","may",214,-1,0,"no"
"137",34,"unknown","jun",109,-1,0,"no"
"138",31,"cellular","aug",385,-1,0,"no"
"139",34,"unknown","jun",70,-1,0,"no"
"140",42,"unknown","may",146,-1,0,"no"
"141",52,"unknown","may",45,-1,0,"no"
"142",34,"cellular","jul",101,-1,0,"no"
"143",41,"cellular","may",432,-1,0,"no"
"144",44,"unknown","jun",22,-1,0,"no"
"145",30,"cellular","jul",250,-1,0,"no"
"146",37,"cellular","may",147,347,1,"no"
"147",55,"cellular","aug",200,-1,0,"no"
"148",41,"unknown","jun",76,-1,0,"no"
"149",31,"cellular","jul",715,-1,0,"no"
"150",40,"telephone","feb",148,-1,0,"no"
"151",40,"cellular","aug",164,-1,0,"no"
"152",33,"unknown","may",109,-1,0,"no"
"153",44,"cellular","jul",149,-1,0,"no"
"154",31,"cellular","may",356,286,3,"no"
"155",39,"cellular","apr",146,281,1,"no"
"156",40,"unknown","may",92,-1,0,"no"
"157",35,"cellular","apr",327,-1,0,"no"
"158",57,"cellular","feb",49,-1,0,"no"
"159",47,"unknown","may",322,-1,0,"no"
"160",53,"cellular","aug",129,-1,0,"no"
"161",38,"cellular","feb",419,-1,0,"no"
"162",66,"cellular","aug",72,-1,0,"no"
"163",42,"telephone","jul",41,-1,0,"no"
"164",29,"cellular","mar",217,184,7,"no"
"165",46,"cellular","apr",239,259,2,"no"
"166",40,"unknown","jun",327,-1,0,"no"
"167",30,"cellular","aug",142,-1,0,"no"
"168",46,"unknown","may",332,-1,0,"no"
"169",38,"unknown","jun",20,-1,0,"no"
"170",40,"unknown","may",70,-1,0,"no"
"171",34,"unknown","may",185,-1,0,"no"
"172",41,"cellular","aug",185,-1,0,"no"
"173",50,"cellular","may",475,-1,0,"no"
"174",57,"cellular","aug",151,-1,0,"no"
"175",59,"cellular","jul",286,-1,0,"no"
"176",56,"cellular","nov",420,-1,0,"no"
"177",29,"cellular","may",119,-1,0,"no"
"178",31,"cellular","jul",235,-1,0,"no"
"179",34,"cellular","jul",164,-1,0,"no"
"180",27,"unknown","jun",236,-1,0,"no"
"181",31,"unknown","may",146,-1,0,"no"
"182",53,"cellular","nov",854,170,3,"no"
"183",46,"unknown","jun",252,-1,0,"no"
"184",32,"unknown","jun",180,-1,0,"no"
"185",75,"cellular","mar",341,-1,0,"no"
"186",36,"cellular","nov",138,-1,0,"no"
"187",26,"cellular","oct",116,-1,0,"no"
"188",33,"cellular","may",119,-1,0,"no"
"189",58,"cellular","aug",155,-1,0,"no"
"190",25,"cellular","jul",160,-1,0,"no"
"191",41,"unknown","may",764,-1,0,"no"
"192",53,"unknown","may",331,-1,0,"no"
"193",57,"cellular","aug",238,-1,0,"no"
"194",36,"unknown","may",204,-1,0,"no"
"195",29,"unknown","jun",73,-1,0,"no"
"196",33,"cellular","may",234,-1,0,"no"
"197",35,"telephone","jan",653,-1,0,"no"
"198",37,"cellular","nov",65,119,1,"no"
"199",58,"telephone","jan",38,-1,0,"no"
"200",35,"cellular","may",277,271,2,"no"
"201",49,"cellular","jan",185,246,1,"no"
"202",40,"cellular","feb",15,-1,0,"no"
"203",76,"cellular","aug",192,-1,0,"no"
"204",38,"unknown","may",411,-1,0,"no"
"205",51,"cellular","aug",316,-1,0,"no"
"206",22,"cellular","jul",69,-1,0,"no"
"207",42,"unknown","may",285,-1,0,"no"
"208",39,"cellular","aug",136,-1,0,"no"
"209",41,"cellular","jul",630,-1,0,"no"
"210",26,"unknown","may",48,-1,0,"no"
"211",43,"cellular","nov",585,191,4,"no"
"212",26,"cellular","may",238,-1,0,"no"
"213",30,"cellular","jul",544,-1,0,"no"
"214",40,"unknown","jun",140,-1,0,"no"
"215",34,"cellular","aug",184,-1,0,"no"
"216",59,"cellular","aug",76,-1,0,"no"
"217",25,"unknown","jun",89,-1,0,"no"
"218",30,"cellular","jul",128,-1,0,"no"
"219",34,"cellular","aug",215,-1,0,"no"
"220",33,"unknown","may",415,-1,0,"no"
"221",40,"unknown","may",483,-1,0,"no"
"222",42,"cellular","aug",85,-1,0,"no"
"223",53,"telephone","jul",36,-1,0,"no"
"224",56,"telephone","may",325,-1,0,"no"
"225",52,"cellular","feb",116,273,3,"no"
"226",30,"cellular","may",260,-1,0,"no"
"227",37,"cellular","jan",293,162,4,"no"
"228",39,"unknown","may",273,-1,0,"no"
"229",31,"cellular","nov",356,-1,0,"no"
"230",53,"cellular","nov",77,-1,0,"no"
"231",30,"cellular","may",1130,-1,0,"no"
"232",44,"cellular","jul",201,-1,0,"no"
"233",42,"cellular","nov",140,-1,0,"no"
"234",51,"cellular","nov",727,-1,0,"no"
"235",45,"unknown","jun",225,-1,0,"no"
"236",44,"cellular","aug",126,-1,0,"no"
"237",51,"unknown","may",723,-1,0,"no"
"238",47,"cellular","may",298,-1,0,"no"
"239",49,"telephone","jul",162,-1,0,"no"
"240",59,"cellular","nov",456,-1,0,"no"
"241",48,"unknown","jun",15,-1,0,"no"
"242",44,"unknown","jun",227,-1,0,"no"
"243",34,"cellular","jul",240,-1,0,"no"
"244",34,"cellular","jul",118,-1,0,"no"
"245",28,"cellular","apr",125,-1,0,"no"
"246",27,"cellular","may",411,-1,0,"no"
"247",33,"cellular","sep",156,127,8,"no"
"248",46,"cellular","jan",190,-1,0,"no"
"249",45,"cellular","may",247,-1,0,"no"
"250",26,"cellular","nov",104,196,1,"no"
"251",34,"unknown","jun",633,-1,0,"no"
"252",33,"cellular","nov",425,462,1,"no"
"253",39,"unknown","jun",13,-1,0,"no"
"254",38,"cellular","aug",98,-1,0,"no"
"255",59,"cellular","may",200,-1,0,"no"
"256",50,"telephone","jul",24,-1,0,"no"
"257",27,"cellular","oct",123,-1,0,"no"
"258",34,"cellular","jun",80,-1,0,"no"
"259",43,"unknown","jun",230,-1,0,"no"
"260",54,"unknown","may",108,-1,0,"no"
"261",52,"cellular","aug",16,-1,0,"no"
"262",32,"cellular","nov",164,-1,0,"no"
"263",40,"cellular","jul",186,-1,0,"no"
"264",36,"unknown","jun",55,-1,0,"no"
"265",41,"cellular","may",463,-1,0,"no"
"266",42,"cellular","feb",43,-1,0,"no"
"267",32,"cellular","may",204,-1,0,"no"
"268",30,"cellular","may",176,-1,0,"no"
"269",36,"cellular","oct",174,-1,0,"no"
"270",38,"cellular","feb",74,-1,0,"no"
"271",27,"cellular","jul",198,-1,0,"no"
"272",42,"unknown","may",121,-1,0,"no"
"273",43,"cellular","jul",646,-1,0,"no"
"274",43,"cellular","nov",65,131,1,"no"
"275",27,"telephone","may",289,-1,0,"no"
"276",32,"unknown","jun",200,-1,0,"no"
"277",38,"unknown","may",72,-1,0,"no"
"278",52,"cellular","jul",224,-1,0,"no"
"279",58,"telephone","may",168,-1,0,"no"
"280",31,"cellular","jul",158,-1,0,"no"
"281",40,"cellular","jul",105,172,1,"no"
"282",30,"cellular","jul",209,-1,0,"no"
"283",47,"cellular","aug",405,-1,0,"no"
"284",40,"cellular","jul",173,-1,0,"no"
"285",40,"cellular","may",1259,333,18,"no"
"286",57,"unknown","jun",540,-1,0,"no"
"287",34,"cellular","aug",210,-1,0,"no"
"288",40,"cellular","may",380,295,1,"no"
"289",32,"cellular","nov",164,179,3,"no"
"290",31,"cellular","jul",588,-1,0,"no"
"291",50,"cellular","jul",22,-1,0,"no"
"292",32,"cellular","may",34,-1,0,"no"
"293",34,"cellular","may",172,-1,0,"no"
"294",36,"telephone","feb",26,197,1,"no"
"295",34,"cellular","aug",96,-1,0,"no"
"296",35,"telephone","jan",122,-1,0,"no"
"297",58,"telephone","mar",58,-1,0,"no"
"298",44,"cellular","may",485,-1,0,"no"
"299",37,"cellular","aug",289,-1,0,"no"
"300",32,"cellular","may",321,-1,0,"no"
"301",32,"cellular","may",145,-1,0,"no"
"302",52,"cellular","apr",238,323,2,"no"
"303",38,"unknown","may",193,-1,0,"no"
"304",40,"unknown","may",134,-1,0,"no"
"305",54,"telephone","apr",1366,150,1,"no"
"306",32,"unknown","jun",746,-1,0,"no"
"307",33,"unknown","may",270,-1,0,"no"
"308",43,"unknown","jun",145,-1,0,"no"
"309",38,"unknown","may",110,-1,0,"no"
"310",41,"cellular","may",367,297,1,"no"
"311",38,"cellular","feb",105,-1,0,"no"
"312",31,"telephone","may",211,-1,0,"no"
"313",35,"cellular","aug",124,-1,0,"no"
"314",27,"unknown","jun",88,-1,0,"no"
"315",30,"cellular","jul",187,-1,0,"no"
"316",50,"telephone","jul",340,-1,0,"no"
"317",43,"unknown","may",228,-1,0,"no"
"318",35,"cellular","aug",249,-1,0,"no"
"319",64,"cellular","mar",117,91,1,"no"
"320",39,"unknown","may",19,-1,0,"no"
"321",57,"cellular","jul",85,-1,0,"no"
"322",53,"unknown","jun",18,-1,0,"no"
"323",48,"cellular","aug",524,-1,0,"no"
"324",41,"cellular","jun",288,-1,0,"no"
"325",33,"cellular","nov",414,-1,0,"no"
"326",31,"unknown","may",143,-1,0,"no"
"327",42,"unknown","may",509,-1,0,"no"
"328",41,"cellular","may",493,-1,0,"no"
"329",37,"cellular","aug",1740,-1,0,"no"
"330",35,"cellular","jul",322,-1,0,"no"
"331",58,"cellular","aug",506,-1,0,"no"
"332",51,"telephone","jun",303,-1,0,"no"
"333",45,"cellular","jul",212,-1,0,"no"
"334",58,"unknown","may",91,-1,0,"no"
"335",50,"cellular","nov",49,-1,0,"no"
"336",56,"cellular","jul",149,-1,0,"no"
"337",42,"unknown","jun",370,-1,0,"no"
"338",53,"cellular","aug",205,-1,0,"no"
"339",27,"unknown","may",78,-1,0,"no"
"340",31,"cellular","aug",169,-1,0,"no"
"341",46,"unknown","jun",110,-1,0,"no"
"342",31,"unknown","may",66,-1,0,"no"
"343",54,"cellular","jul",98,-1,0,"no"
"344",45,"cellular","aug",29,-1,0,"no"
"345",35,"cellular","jul",287,415,1,"yes"
"346",33,"cellular","oct",130,161,1,"yes"
"347",34,"cellular","apr",359,-1,0,"yes"
"348",31,"cellular","nov",316,99,9,"yes"
"349",60,"cellular","aug",239,761,1,"yes"
"350",29,"unknown","may",1689,-1,0,"yes"
"351",47,"telephone","aug",239,-1,0,"yes"
"352",31,"cellular","jul",252,184,3,"yes"
"353",59,"unknown","nov",669,-1,0,"yes"
"354",62,"cellular","oct",216,183,4,"yes"
"355",34,"unknown","oct",154,-1,0,"yes"
"356",37,"cellular","apr",124,-1,0,"yes"
"357",53,"unknown","jun",701,-1,0,"yes"
"358",59,"unknown","jun",812,-1,0,"yes"
"359",29,"cellular","nov",226,92,1,"yes"
"360",37,"cellular","feb",91,-1,0,"yes"
"361",54,"cellular","oct",335,-1,0,"yes"
"362",42,"cellular","oct",230,92,1,"yes"
"363",41,"cellular","apr",252,185,5,"yes"
"364",32,"unknown","may",757,-1,0,"yes"
"365",43,"unknown","may",2087,-1,0,"yes"
"366",56,"telephone","jul",353,-1,0,"yes"
"367",32,"cellular","jul",1017,-1,0,"yes"
"368",59,"cellular","jun",493,-1,0,"yes"
"369",28,"cellular","mar",93,-1,0,"yes"
"370",34,"cellular","may",213,-1,0,"yes"
"371",47,"cellular","apr",412,169,1,"yes"
"372",50,"cellular","apr",670,340,2,"yes"
"373",46,"cellular","aug",1181,-1,0,"yes"
"374",30,"cellular","may",727,-1,0,"yes"
"375",46,"telephone","oct",270,-1,0,"yes"
"376",43,"cellular","sep",261,98,1,"yes"
"377",45,"cellular","jul",873,-1,0,"yes"
"378",56,"unknown","may",1467,-1,0,"yes"
"379",51,"cellular","may",415,375,1,"yes"
"380",37,"cellular","may",567,275,4,"yes"
"381",68,"telephone","jul",897,-1,0,"yes"
"382",34,"cellular","oct",401,-1,0,"yes"
"383",34,"cellular","apr",142,-1,0,"yes"
"384",53,"cellular","oct",759,-1,0,"yes"
"385",58,"unknown","jun",700,-1,0,"yes"
"386",39,"cellular","feb",691,180,5,"yes"
"387",55,"cellular","feb",169,183,1,"yes"
"388",57,"cellular","aug",819,-1,0,"yes"
"389",31,"cellular","jun",166,-1,0,"yes"
"390",28,"cellular","apr",278,-1,0,"yes"
"391",37,"telephone","feb",466,-1,0,"yes"
"392",41,"cellular","nov",549,-1,0,"yes"
"393",32,"cellular","sep",185,99,5,"yes"
"394",33,"telephone","jul",1448,-1,0,"yes"
"395",60,"unknown","may",1028,-1,0,"yes"
"396",25,"telephone","aug",170,-1,0,"yes"
"397",55,"cellular","jun",324,90,2,"yes"
"398",36,"cellular","aug",207,98,1,"yes"
"399",45,"unknown","jun",1259,-1,0,"yes"
"400",61,"cellular","feb",670,-1,0,"yes"
"401",32,"unknown","may",1234,-1,0,"yes"
"402",34,"cellular","apr",430,-1,0,"yes"
"403",24,"cellular","aug",460,-1,0,"yes"
"404",36,"cellular","aug",386,-1,0,"yes"
"405",31,"cellular","feb",280,-1,0,"yes"
"406",34,"cellular","jun",177,-1,0,"yes"
"407",30,"cellular","aug",976,-1,0,"yes"
"408",53,"cellular","jun",282,385,1,"yes"
"409",48,"cellular","apr",1032,141,7,"yes"
"410",36,"cellular","dec",321,189,4,"yes"
"411",37,"cellular","jul",268,182,3,"yes"
"412",66,"cellular","jan",216,91,4,"yes"
"413",36,"unknown","jun",2769,-1,0,"yes"
"414",54,"cellular","jun",207,-1,0,"yes"
"415",34,"cellular","aug",990,-1,0,"yes"
"416",27,"unknown","jun",590,-1,0,"yes"
"417",30,"cellular","jul",1031,-1,0,"yes"
"418",84,"telephone","may",353,-1,0,"yes"
"419",42,"cellular","may",955,-1,0,"yes"
"420",44,"cellular","may",897,-1,0,"yes"
"421",44,"cellular","nov",289,-1,0,"yes"
"422",30,"cellular","jul",435,-1,0,"yes"
"423",49,"cellular","may",558,-1,0,"yes"
"424",53,"cellular","may",959,174,7,"yes"
"425",59,"cellular","feb",222,94,2,"yes"
"426",32,"cellular","apr",171,-1,0,"yes"
"427",33,"cellular","feb",860,-1,0,"yes"
"428",44,"cellular","nov",167,92,1,"yes"
"429",25,"cellular","sep",267,114,2,"yes"
"430",40,"cellular","aug",221,461,1,"yes"
"431",41,"cellular","feb",261,184,6,"yes"
"432",59,"cellular","apr",159,378,3,"yes"
"433",41,"cellular","may",788,-1,0,"yes"
"434",54,"telephone","nov",1034,-1,0,"yes"
"435",25,"cellular","may",600,332,4,"yes"
"436",35,"cellular","jul",799,-1,0,"yes"
"437",26,"cellular","jan",1451,-1,0,"yes"
"438",47,"unknown","jun",993,-1,0,"yes"
"439",31,"cellular","jul",1441,-1,0,"yes"
"440",38,"cellular","nov",232,96,4,"yes"
"441",55,"cellular","jun",345,94,3,"yes"
"442",53,"cellular","mar",80,-1,0,"yes"
"443",26,"unknown","may",576,-1,0,"yes"
"444",45,"unknown","oct",187,-1,0,"yes"
"445",66,"cellular","feb",479,-1,0,"yes"
"446",25,"cellular","may",223,89,2,"yes"
"447",46,"cellular","mar",229,-1,0,"yes"
"448",36,"cellular","aug",293,181,2,"yes"
"449",29,"cellular","feb",125,-1,0,"yes"
"450",38,"cellular","jul",1484,-1,0,"yes"
"451",50,"telephone","jul",1088,-1,0,"yes"
"452",35,"cellular","jul",743,-1,0,"yes"
"453",27,"cellular","nov",192,92,2,"yes"
"454",38,"cellular","may",1173,278,6,"yes"
"455",34,"cellular","may",515,350,5,"yes"
"456",59,"telephone","may",500,358,2,"yes"
"457",19,"cellular","jul",104,-1,0,"yes"
"458",49,"cellular","apr",772,-1,0,"yes"
"459",41,"cellular","aug",352,-1,0,"yes"
"460",28,"telephone","may",360,181,5,"yes"
"461",29,"cellular","feb",328,183,4,"yes"
"462",63,"telephone","aug",250,187,2,"yes"
"463",24,"cellular","oct",184,91,2,"yes"
"464",37,"cellular","sep",404,182,1,"yes"
"465",80,"cellular","feb",639,189,1,"yes"
"466",32,"cellular","nov",132,-1,0,"yes"
"467",69,"telephone","mar",225,90,1,"yes"
"468",35,"cellular","mar",215,-1,0,"yes"
"469",42,"cellular","nov",525,-1,0,"yes"
"470",32,"cellular","apr",648,272,1,"yes"
"471",43,"cellular","nov",1015,198,2,"yes"
"472",35,"cellular","nov",808,-1,0,"yes"
"473",26,"cellular","mar",87,91,2,"yes"
"474",32,"cellular","may",563,-1,0,"yes"
"475",43,"cellular","aug",501,-1,0,"yes"
"476",21,"cellular","jun",258,169,3,"yes"
"477",52,"cellular","jan",134,204,2,"yes"
"478",54,"cellular","jul",2029,-1,0,"yes"
"479",33,"cellular","may",218,-1,0,"yes"
"480",36,"cellular","nov",270,-1,0,"yes"
"481",27,"cellular","may",391,-1,0,"yes"
"482",32,"cellular","jul",356,-1,0,"yes"
"483",28,"cellular","jul",128,-1,0,"yes"
"484",30,"cellular","apr",298,-1,0,"yes"
"485",41,"cellular","nov",477,-1,0,"yes"
"486",32,"cellular","jul",1275,-1,0,"yes"
"487",23,"unknown","may",806,-1,0,"yes"
"488",48,"cellular","aug",389,64,2,"yes"
"489",33,"cellular","aug",836,-1,0,"yes"
"490",30,"cellular","feb",528,-1,0,"yes"
"491",62,"telephone","aug",245,-1,0,"yes"
"492",39,"unknown","jun",526,-1,0,"yes"
"493",39,"cellular","jul",869,-1,0,"yes"
"494",34,"cellular","apr",97,-1,0,"yes"
"495",38,"unknown","may",762,-1,0,"yes"
"496",49,"cellular","nov",1081,-1,0,"yes"
"497",39,"cellular","may",667,357,3,"yes"
"498",50,"cellular","jun",239,-1,0,"yes"
"499",32,"cellular","aug",686,-1,0,"yes"
"500",44,"cellular","jul",712,-1,0,"yes"
"501",50,"cellular","aug",904,-1,0,"yes"
"502",47,"cellular","jul",250,181,4,"yes"
"503",38,"cellular","aug",178,1,1,"yes"
"504",46,"cellular","aug",429,-1,0,"yes"
"505",55,"cellular","sep",328,94,2,"yes"
"506",26,"cellular","may",827,-1,0,"yes"
"507",39,"cellular","may",877,300,2,"yes"
"508",34,"cellular","aug",587,-1,0,"yes"
"509",79,"telephone","jan",326,272,2,"yes"
"510",32,"cellular","sep",100,-1,0,"yes"
"511",40,"cellular","jun",314,-1,0,"yes"
"512",36,"unknown","may",446,-1,0,"yes"
"513",53,"telephone","mar",295,91,2,"yes"
"514",28,"cellular","sep",294,105,7,"yes"
"515",27,"cellular","apr",279,-1,0,"yes"
"516",41,"cellular","feb",109,-1,0,"yes"
"517",38,"cellular","may",442,-1,0,"yes"
"518",33,"cellular","apr",475,-1,0,"yes"
"519",46,"unknown","may",646,-1,0,"yes"
"520",35,"unknown","may",736,-1,0,"yes"
"521",49,"cellular","jul",988,-1,0,"yes"
"522",27,"cellular","mar",378,-1,0,"yes"
"523",46,"cellular","mar",910,184,4,"yes"
"524",43,"unknown","may",1721,-1,0,"yes"
"525",20,"cellular","apr",261,-1,0,"yes"
"526",38,"cellular","nov",578,-1,0,"yes"
"527",31,"cellular","apr",297,86,3,"yes"
"528",80,"telephone","jun",712,64,12,"yes"
"529",27,"cellular","may",198,98,6,"yes"
"530",44,"cellular","mar",188,-1,0,"yes"
"531",26,"telephone","jun",280,92,5,"yes"
"532",29,"cellular","aug",504,92,1,"yes"
"533",52,"cellular","oct",411,182,1,"yes"
"534",42,"telephone","sep",376,-1,0,"yes"
"535",29,"cellular","feb",110,64,2,"yes"
"536",42,"cellular","feb",138,-1,0,"yes"
"537",49,"cellular","mar",152,-1,0,"yes"
"538",49,"cellular","nov",269,-1,0,"yes"
"539",40,"cellular","may",474,256,1,"yes"
"540",67,"cellular","aug",254,-1,0,"yes"
"541",32,"cellular","feb",550,-1,0,"yes"
"542",38,"cellular","mar",164,130,2,"yes"
"543",36,"cellular","aug",157,97,2,"yes"
"544",28,"cellular","sep",199,92,14,"yes"
"545",30,"telephone","jul",279,-1,0,"yes"
"546",31,"cellular","feb",258,73,1,"yes"
"547",77,"cellular","apr",161,-1,0,"yes"
"548",38,"cellular","jun",297,144,4,"yes"
"549",69,"cellular","jul",417,184,4,"yes"
"550",49,"telephone","feb",1971,-1,0,"yes"
"551",35,"cellular","may",1073,-1,0,"yes"
"552",33,"cellular","jul",968,-1,0,"yes"
"553",46,"cellular","may",725,-1,0,"yes"
