ClosePrice,OpenPrice,Competitive
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,1
0.01,0.01,1
0.01,0.01,0
0.06,0.01,1
0.1,0.01,1
0.11,0.01,1
0.11,0.01,1
0.17,0.01,1
0.17,0.01,1
0.21,0.01,1
0.55,0.01,1
0.55,0.01,1
1.05,0.01,1
1.25,0.01,1
1.25,0.01,1
1.25,0.01,1
1.25,0.01,1
1.29,0.01,1
1.3,0.01,1
1.32,0.01,1
1.32,0.01,1
1.37,0.01,1
1.5,0.01,1
1.58,0.01,1
1.75,0.01,1
2,0.01,1
2,0.01,1
2,0.01,1
2.05,0.01,1
2.13,0.01,1
2.25,0.01,1
2.25,0.01,1
2.3,0.01,1
2.31,0.01,1
2.33,0.01,1
2.8,0.01,1
3,0.01,1
3,0.01,1
3.01,0.01,1
3.06,0.01,1
3.08,0.01,1
3.25,0.01,1
3.25,0.01,1
3.25,0.01,1
3.25,0.01,1
3.26,0.01,1
3.27,0.01,1
3.3,0.01,1
3.31,0.01,1
3.36,0.01,1
3.5,0.01,1
3.55,0.01,1
3.75,0.01,1
3.75,0.01,1
3.76,0.01,1
3.8,0.01,1
3.8,0.01,1
3.84,0.01,1
4.17,0.01,1
4.25,0.01,1
4.25,0.01,1
4.25,0.01,1
4.25,0.01,1
4.26,0.01,1
4.29,0.01,1
4.31,0.01,1
4.4,0.01,1
4.54,0.01,1
4.75,0.01,1
4.9,0.01,1
5,0.01,1
5,0.01,1
5.01,0.01,1
5.5,0.01,1
5.5,0.01,1
5.5,0.01,1
5.52,0.01,1
5.52,0.01,1
6,0.01,1
6.01,0.01,1
6.15,0.01,1
6.18,0.01,1
6.5,0.01,1
6.5,0.01,1
6.5,0.01,1
6.5,0.01,1
11.6,0.017846,1
6.55,0.01,1
6.71,0.01,1
7,0.01,1
7,0.01,1
7,0.01,1
7.05,0.01,1
