citrus fruit,semi-finished bread,margarine,ready soups,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32
other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water,,,,,,,,,,,,,,,,,,,,
whole milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,citrus fruit,berries,root vegetables,whole milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles,,,,,,,,,,,,,,,,,,,,,
turkey,pip fruit,salad dressing,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine,,,,,,,,,,,,,,,,,,,,,,,
candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,soda,chewing gum,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,white bread,pastry,pasta,soap,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,hard cheese,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,brown bread,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,brown bread,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,root vegetables,other vegetables,curd,butter milk,cream cheese,roll products,margarine,misc. beverages,specialty chocolate,detergent,,,,,,,,,,,,,,,,,,,,,
margarine,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt,salty snack,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,whipped/sour cream,cereals,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,rolls/buns,pastry,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,rolls/buns,dish cleaner,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
