whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,
ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,
rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,
red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter milk,yogurt,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,
pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,
detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,
processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
