Age,Years_Current_Employer,Years_Current_Position,Salary
42,14,13,40000
49,12,12,48000
57,20,20,70000
52,15,15,50000
44,17,10,41000
56,32,7,175000
32,3,3,48500
28,3,3,100000
29,3,3,45000
59,3,3,25000
41,15,4,150000
26,6,3,124000
34,3,3,75000
67,3,3,50000
49,23,20,91000
58,14,3,42000
28,2,2,65000
32,22,2,35000
58,8,8,45258
51,2,2,72000
54,3,3,25000
55,5,5,50000
26,0,1,42000
32,6,4,100000
62,25,20,40000
58,11,11,72000
59,7,7,26000
26,4,1,68000
29,3,3,39000
35,5,2,74000
48,2,2,30000
67,13,6,120000
47,3,3,35000
28,4,4,50000
36,10,1,54995
50,10,8,62000
58,5,5,150000
39,10,6,36000
43,4,2,39000
26,3,3,70000
60,1,4,40000
61,32,2,125000
60,2,2,30000
63,31,12,70000
60,6,6,59000
33,6,6,38400
47,7,7,43000
56,12,8,55000
52,20,8,35000
52,12,12,26400
47,24,18,154000
60,5,5,33000
38,10,10,42000
50,22,15,55000
33,1,1,70000
62,30,15,99500
31,6,1,46000
28,2,2,48000
35,5,5,56000
32,7,7,30000
32,6,15,35000
58,25,20,54000
49,10,10,45000
44,7,5,75000
53,6,10,52000
38,7,3,69000
42,6,4,33000
56,32,17,60000
53,3,2,67000
59,22,7,30000
74,25,15,72000
31,5,1,49000
48,10,10,42500
35,13,13,42000
50,4,4,40000
55,24,10,134000
48,1,1,30000
33,2,2,35000
51,22,19,40000
61,1,1,55000
48,9,9,130000
42,8,6,60000
52,21,12,75000
61,32,12,125000
66,40,10,75000
34,6,6,42000
36,10,2,38000
49,14,9,30000
30,1,1,40000
51,11,5,125000
66,9,9,75000
45,24,1,117000
45,2,2,42000
49,20,20,60000
49,6,15,47500
40,1,1,78000
63,28,20,46000
42,19,19,138000
39,15,12,50000
29,3,3,80000
25,2,2,35000
30,5,3,43000
32,3,3,25000
43,11,11,69000
45,17,5,50000
28,2,1,30000
42,19,19,85000
25,6,4,100000
54,12,5,28000
30,6,4,90000
29,2,2,50000
56,29,15,55000
28,5,5,65000
46,20,15,75000
31,5,5,80000
55,29,12,50000
40,2,2,56777
43,19,3,116000
39,5,5,30000
44,4,4,50000
45,8,8,25000
28,3,3,71400
34,12,10,53000
28,1,1,50000
61,16,16,65000
56,5,5,50000
34,4,1,45000
34,2,2,25000
49,18,2,75000
48,24,10,90000
48,7,5,74000
42,5,3,47000
37,12,12,45000
69,8,8,185000
43,8,7,80000
33,2,2,35000
61,22,15,61000
46,4,4,55555
62,20,20,40000
34,8,8,130000
62,3,3,135000
36,4,4,45000
29,5,3,32000
44,16,8,39000
62,1,13,39580
38,10,10,50000
43,2,12,50000
40,8,8,44000
50,11,7,45000
42,5,2,95000
51,12,15,76000
57,33,20,68000
44,20,3,122000
46,24,20,40000
52,25,10,105000
45,25,15,99000
61,12,12,38000
27,7,5,50000
62,14,14,52000
35,7,7,45000
27,2,2,40000
42,16,2,75000
72,8,8,130000
66,1,1,25000
56,9,4,45000
33,7,8,38000
26,5,5,32000
34,2,2,60000
52,21,11,49000
63,20,20,46000
