age,job,marital,education,default,balance,housing,loan,contact,day,month,duration
24,services,married,secondary,yes,110,yes,no,unknown,23,may,27
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220
31,technician,single,tertiary,no,1166,yes,no,unknown,3,jun,207
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74
31,technician,single,secondary,no,373,no,no,cellular,22,aug,346
32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11
31,blue-collar,married,secondary,no,472,yes,no,unknown,13,may,907
36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314
48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227
56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223
41,management,married,secondary,no,0,no,yes,cellular,7,jul,630
35,services,divorced,secondary,no,221,yes,no,cellular,14,may,150
35,management,married,tertiary,no,0,no,no,cellular,11,jul,89
32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165
49,technician,married,secondary,no,5996,no,no,telephone,21,nov,345
34,management,single,secondary,no,524,no,no,unknown,13,aug,9
32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259
37,blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371
32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455
37,blue-collar,divorced,secondary,no,33,yes,no,cellular,20,nov,106
46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194
34,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10
25,admin.,single,secondary,no,4590,yes,no,unknown,28,may,199
30,technician,single,tertiary,no,-970,no,yes,cellular,21,aug,194
44,admin.,married,secondary,no,5181,yes,yes,cellular,31,jul,18
31,admin.,single,secondary,no,223,yes,no,cellular,17,apr,508
32,management,married,tertiary,no,553,yes,no,cellular,22,jul,72
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276
49,services,married,secondary,no,400,no,no,cellular,21,aug,151
40,blue-collar,married,secondary,no,61,yes,no,unknown,7,may,112
56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66
33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210
52,unknown,married,secondary,no,142,no,no,cellular,25,aug,112
48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145
49,retired,married,primary,no,1672,no,no,cellular,17,jul,128
43,unknown,single,tertiary,no,2731,no,no,cellular,21,nov,11
26,management,single,secondary,no,565,yes,no,unknown,6,jun,582
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373
32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,132
40,services,married,secondary,no,0,yes,no,cellular,2,jun,297
60,management,married,tertiary,no,759,no,no,cellular,14,aug,136
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341
28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,331
47,blue-collar,married,secondary,no,480,yes,no,unknown,28,may,211
29,management,married,tertiary,no,451,no,no,cellular,28,jan,451
38,admin.,married,tertiary,no,605,no,no,cellular,18,nov,147
55,management,married,unknown,no,559,no,no,cellular,28,jan,271
43,blue-collar,single,primary,no,2,yes,no,cellular,30,jul,783
37,self-employed,married,secondary,no,487,no,yes,cellular,27,aug,155
30,blue-collar,married,primary,no,1317,yes,no,unknown,21,may,395
33,blue-collar,married,primary,no,-195,no,no,unknown,20,sep,9
32,services,married,secondary,yes,-220,yes,yes,cellular,25,jul,123
38,services,married,secondary,no,-140,no,no,unknown,25,jun,456
34,technician,single,secondary,no,0,yes,yes,unknown,16,may,214
33,blue-collar,married,secondary,no,43,yes,no,cellular,14,may,332
34,blue-collar,married,secondary,no,856,yes,no,cellular,20,apr,470
44,management,married,secondary,no,438,yes,no,telephone,8,may,37
54,management,married,tertiary,no,2819,no,no,cellular,7,aug,123
42,admin.,divorced,secondary,no,1076,yes,no,unknown,14,may,213
26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472
